locality,zone,infrastructure,area_sqft,distance_highway_km,distance_city_center_km,distance_water_km,distance_metro_km,ownership_changes,years_held,legal_disputes,flood_zone,near_metro,near_tech_park,price_sqft,total_price,asking_price
Anekal,agricultural,poor,914.0,4.81,36.33,2.51,1.54,1,5,0,0,0,0,941.52,860566.27,715056.87
Brookefield,residential,excellent,7757.8,4.59,16.56,6.82,1.15,2,16,0,0,1,0,8446.36,65525526.74,73461467.11
Attibele,industrial,poor,1031.5,6.38,32.67,1.41,3.48,1,17,0,0,0,1,1166.62,1203332.98,1408539.61
Mahalakshmi Layout,residential,good,1677.9,6.05,7.57,6.25,4.74,0,5,0,0,0,0,7965.46,13365359.32,17871844.12
Kalyan Nagar,residential,good,16389.0,8.76,9.23,5.13,1.73,4,5,0,0,0,0,5485.25,89897481.43,81919529.51
Nagarbhavi,residential,good,14523.0,7.39,10.04,7.65,1.97,2,24,0,0,0,0,5723.79,83126795.36,81897179.68
JP Nagar,residential,excellent,1969.1,10.57,11.18,5.8,3.83,0,21,0,0,0,0,10660.83,20992369.7,26548961.31
Mahalakshmi Layout,residential,good,3535.7,4.54,4.76,7.39,2.96,3,12,0,0,0,0,7640.29,27014108.58,35698641.48
Nagawara,residential,good,1038.8,5.7,8.86,1.11,1.73,1,16,1,0,0,0,6345.45,6591350.35,6086775.45
Hebbal,residential,excellent,17499.9,3.06,10.86,6.68,2.52,2,4,0,1,0,1,8799.14,153984127.53,145035970.44
HBR Layout,residential,good,2231.2,5.69,8.22,4.42,4.96,5,10,0,1,0,0,4947.46,11038714.3,9872953.41
Kalyan Nagar,residential,good,1444.7,6.01,11.65,0.48,4.67,0,20,0,0,0,0,6938.36,10023755.85,7734246.32
Thanisandra,residential,good,2657.4,6.12,9.95,5.13,4.85,0,15,0,0,0,0,7188.01,19101333.74,19323542.11
Kadugodi,residential,average,903.4,7.06,20.51,7.97,3.53,0,3,0,0,0,0,2979.02,2691150.92,2560124.07
Basavanagudi,residential,excellent,19289.5,10.03,4.82,3.98,4.97,0,22,0,0,0,0,11977.03,231031162.66,269506830.2
MG Road,commercial,excellent,1514.1,6.62,5.08,1.95,3.34,2,5,0,0,0,1,26681.2,40396907.78,52240317.7
Thanisandra,residential,good,10042.4,5.98,11.02,5.73,1.82,0,19,0,0,0,0,6336.49,63633413.34,72231584.27
Tumkur Road,industrial,average,1678.5,1.33,14.48,4.68,2.35,2,11,0,0,0,1,3190.9,5356038.94,5713676.65
RR Nagar,residential,good,820.4,7.27,12.56,5.98,4.98,2,21,0,0,0,0,5424.76,4450626.02,5442197.37
Yelahanka,residential,good,801.8,5.57,15.65,3.03,2.67,1,2,0,0,0,0,5282.69,4235429.32,5413596.64
Brookefield,residential,excellent,2054.4,4.53,17.51,6.86,1.85,2,21,0,0,0,0,7257.15,14908956.71,17894468.48
Kadugodi,residential,average,899.4,5.18,18.53,3.35,1.99,3,7,1,0,0,0,2452.76,2205936.11,2133623.29
Sarjapur Road,residential,good,1180.1,9.37,15.66,1.3,3.25,3,15,1,0,0,1,4402.59,5195289.02,6698263.85
Banashankari,residential,excellent,618.7,12.81,11.58,6.61,0.51,1,24,0,0,1,0,9322.63,5768086.1,5882072.6
Marathahalli,commercial,excellent,1182.1,2.89,11.86,1.39,4.94,0,2,1,0,0,1,9362.96,11068363.87,12818243.83
MG Road,commercial,excellent,2674.9,5.85,1.42,7.76,1.07,2,6,0,0,1,1,25352.41,67815143.14,57990317.51
Whitefield,commercial,excellent,1481.0,5.61,16.48,1.12,1.96,1,2,0,0,0,1,8670.28,12840437.27,13293681.58
Bommanahalli,residential,good,2923.1,8.08,12.7,7.28,2.03,2,17,0,0,0,0,4462.69,13044743.29,13044547.6
Marathahalli,commercial,excellent,19216.3,5.28,16.94,7.69,3.52,0,4,0,1,0,1,7729.91,148540033.68,144076725.33
Harlur,residential,good,649.0,7.87,19.02,6.04,1.35,2,17,0,0,1,0,4966.76,3223287.78,3515982.33
Hebbal,residential,excellent,1431.2,5.14,8.96,5.15,2.55,1,20,0,0,0,1,11587.98,16584881.79,19675583.51
Shivajinagar,commercial,excellent,1690.1,4.85,4.96,2.76,4.38,1,20,0,0,0,1,16426.77,27762294.27,21409288.69
Doddanekundi,commercial,good,2960.8,4.79,16.71,5.51,4.82,1,5,0,0,0,1,7290.42,21585259.1,20093956.12
Whitefield,commercial,excellent,1030.6,5.76,18.19,1.11,4.2,2,18,0,0,0,1,8326.89,8581334.81,9838734.33
Indiranagar,residential,excellent,4032.1,5.69,6.99,3.34,0.62,0,14,0,0,1,0,16226.85,65428203.68,73348976.8
Chandapura,residential,average,3132.4,5.52,26.3,2.1,3.3,0,19,0,0,0,0,2608.27,8170170.87,10968414.64
Peenya,industrial,average,4541.8,1.12,14.23,0.51,3.94,3,18,0,0,0,1,3437.14,15610689.03,14485650.09
Devanahalli,agricultural,average,1153.5,2.85,37.49,5.24,3.18,1,10,0,0,0,0,1510.99,1742978.01,2152705.68
Yeshwanthpur,commercial,good,1083.5,2.92,7.41,5.87,0.55,0,4,0,0,1,1,10123.01,10968703.29,10304064.56
Bellary Road,commercial,excellent,1439.7,4.08,9.86,6.06,2.39,3,5,1,0,0,1,8342.82,12011371.1,13998760.56
Frazer Town,residential,excellent,15665.1,6.61,5.65,0.8,1.88,0,23,0,0,0,0,11081.23,173589118.08,164185334.43
Yelahanka,residential,good,1701.6,3.14,16.88,0.68,2.82,2,5,0,0,0,0,5307.66,9031336.6,11075516.62
Kanakapura Road,residential,good,826.3,8.06,16.7,3.15,0.68,0,10,0,0,1,0,4841.97,4000730.86,5263605.34
JP Nagar,residential,excellent,820.0,11.32,6.16,5.77,3.09,4,17,0,1,0,0,7336.86,6016222.08,6246844.51
Basavanagudi,residential,excellent,2060.7,9.78,5.39,7.13,3.09,0,10,0,0,0,0,10737.83,22127281.73,28663974.89
Whitefield,commercial,excellent,802.2,6.77,15.81,6.43,4.1,1,20,0,0,0,1,8808.88,7066042.44,7451029.19
Attibele,industrial,poor,8678.5,4.23,29.1,3.19,4.02,3,4,0,0,0,1,1465.45,12717932.21,11416957.61
Frazer Town,residential,excellent,681.6,9.4,8.01,2.9,0.56,0,2,0,0,1,0,14063.75,9586485.34,7301529.96
Vijayanagar,residential,good,647.9,6.57,9.58,2.42,4.18,5,8,0,0,0,0,5145.01,3333271.41,2940300.18
Sadashivanagar,residential,excellent,3107.2,7.5,3.95,7.1,3.97,2,12,0,0,0,0,18150.38,56397575.05,58858859.42
Tumkur Road,industrial,average,4378.4,1.4,15.32,3.2,2.77,0,23,0,0,0,1,3574.19,15649147.34,11831558.58
Devanahalli,agricultural,average,4704.6,0.84,37.76,0.49,1.42,2,24,0,0,1,0,1592.05,7490016.71,5680523.36
Thanisandra,residential,good,18601.8,5.35,10.71,2.14,3.58,0,3,0,0,0,0,6383.04,118735964.04,144505892.76
Jayanagar,residential,excellent,1628.6,10.38,7.05,6.44,4.32,0,6,0,0,0,0,12826.26,20888500.61,20485709.77
Sadashivanagar,residential,excellent,16795.4,7.32,2.72,3.14,0.41,1,13,0,0,1,0,19333.17,324707406.17,275325012.91
Vasanth Nagar,residential,excellent,925.4,8.52,1.03,6.55,2.53,0,6,0,0,0,0,18608.42,17219753.52,20957517.38
Banashankari,residential,excellent,1235.0,8.46,11.42,5.77,2.25,2,21,0,0,0,0,7027.64,8679288.21,10342026.57
MG Road,commercial,excellent,3031.4,4.6,1.38,6.65,3.8,1,24,0,0,0,1,26048.83,78963376.29,63119167.56
Carmelaram,residential,average,3515.1,7.12,20.8,7.81,1.27,0,10,0,0,1,0,4815.53,16927172.84,15287290.68
Frazer Town,residential,excellent,1412.3,8.24,4.62,1.87,1.52,0,21,0,0,0,0,13028.93,18401030.9,15569565.95
Shivajinagar,commercial,excellent,2528.3,3.53,1.41,1.7,0.35,3,12,0,0,1,1,18668.66,47200654.49,62723354.72
Nagarbhavi,residential,good,4269.1,7.74,10.71,3.79,1.26,3,17,1,0,1,0,5509.52,23520815.3,25957312.49
Jakkur,residential,good,3125.8,5.57,13.66,3.69,2.39,1,8,1,1,0,0,4328.63,13530314.93,17331859.04
Peenya,industrial,average,4990.4,3.77,14.09,4.92,2.56,0,19,0,0,0,1,3617.22,18051456.45,15346995.79
Hoodi,residential,good,3520.6,7.44,15.28,5.37,1.85,1,16,0,0,0,0,4821.57,16974723.83,18750897.19
Yelahanka,residential,good,4257.3,3.41,18.29,4.04,0.66,1,14,1,0,1,0,5184.12,22070259.93,17691645.2
Vijayanagar,residential,good,2053.0,6.22,8.76,1.3,0.81,0,10,0,1,1,0,6539.54,13425713.78,13544769.8
Brookefield,residential,excellent,2552.9,8.51,15.14,3.59,3.01,3,9,0,0,0,0,7720.65,19710050.81,14790860.89
Doddaballapur,agricultural,poor,1450.6,1.65,40.66,3.71,1.53,2,22,0,0,0,0,753.2,1092605.87,1039582.44
Kadugodi,residential,average,3640.9,7.56,24.9,7.03,2.63,2,6,0,0,0,0,2516.11,9160934.98,7288695.55
Hoskote,agricultural,poor,4681.3,5.19,33.06,2.85,2.81,0,24,0,0,0,0,1057.85,4952093.69,4176500.43
Mahalakshmi Layout,residential,good,5956.2,4.44,6.86,5.06,2.81,3,13,0,0,0,0,6158.65,36681930.9,31961633.58
Marathahalli,commercial,excellent,9854.5,3.86,13.76,4.18,2.6,0,9,0,0,0,1,9482.8,93447849.35,95581183.54
Hoskote,agricultural,poor,2832.1,5.48,32.82,7.93,4.83,2,6,1,0,0,0,835.14,2365193.65,2528135.52
Kadugodi,residential,average,4124.0,7.25,22.24,4.86,1.71,1,17,0,1,0,0,2760.79,11385366.59,15095725.05
Yelahanka,residential,good,1376.1,3.88,16.1,7.51,1.07,2,8,0,0,1,0,5425.92,7466823.06,9788658.64
Bannerghatta Road,residential,good,4437.1,7.45,13.21,4.47,3.17,2,17,1,0,0,0,4952.5,21974687.22,27950711.39
JP Nagar,residential,excellent,4194.5,9.44,8.39,6.26,0.67,6,11,1,0,1,0,7402.15,31048306.07,27439406.86
Whitefield,commercial,excellent,2537.1,6.74,17.51,3.45,2.04,3,1,0,0,0,1,8257.48,20949897.36,19077422.2
Brookefield,residential,excellent,4965.5,6.42,16.99,6.24,1.74,0,16,0,0,0,0,8821.54,43803611.73,37055576.24
Bannerghatta Road,residential,good,1158.7,6.87,15.59,4.31,4.92,2,5,0,0,0,0,5318.56,6162818.22,5533003.84
Varthur,residential,average,1485.5,7.61,16.33,2.15,4.56,3,3,1,1,0,0,2899.76,4307715.76,3432559.16
Vasanth Nagar,residential,excellent,4228.6,5.28,5.44,6.19,4.48,1,7,0,0,0,0,16589.2,70149746.07,94378120.95
Rajajinagar,residential,excellent,2297.9,4.65,5.23,2.23,1.85,2,12,0,0,0,0,10058.87,23114378.96,18454308.52
KR Puram,residential,good,1497.4,2.52,12.07,4.13,1.79,4,9,0,0,0,0,5209.55,7800946.65,8803176.16
Vasanth Nagar,residential,excellent,885.4,4.82,5.11,5.48,4.56,2,24,0,0,0,0,17438.23,15439605.19,17832860.12
Chandapura,residential,average,2462.5,4.32,25.19,5.73,3.13,3,22,0,0,0,0,2691.81,6628508.61,6441883.06
Doddanekundi,commercial,good,13242.0,6.62,16.34,0.82,3.68,4,3,0,0,0,1,5240.21,69391037.52,61671872.05
Lavelle Road,residential,excellent,857.3,7.02,2.48,5.4,3.15,1,16,0,0,0,0,21873.42,18752605.01,21627049.44
Vasanth Nagar,residential,excellent,4257.1,4.79,4.69,1.29,0.6,0,13,1,0,1,0,15934.98,67836089.97,59107232.44
Rajajinagar,residential,excellent,2302.8,3.7,6.44,2.82,1.29,1,1,0,0,1,0,12145.19,27967815.06,32941520.53
Hoskote,agricultural,poor,2631.3,5.14,33.9,6.43,0.44,1,6,0,0,1,0,1301.13,3423661.91,3791009.19
Banashankari,residential,excellent,3666.3,11.67,12.11,4.04,3.21,2,6,1,0,0,0,6735.89,24695743.65,19941578.63
HSR Layout,residential,excellent,1218.8,8.38,12.2,6.46,4.37,0,18,0,0,0,1,12260.22,14942644.76,14730763.79
Richmond Town,residential,excellent,1517.9,5.71,2.55,1.66,2.24,1,9,0,0,0,0,17340.56,26321129.0,26703396.2
Koramangala,commercial,excellent,19213.9,10.42,4.51,6.39,4.46,1,14,0,0,0,1,22937.12,440712628.62,484048972.29
Bellandur,residential,good,13199.8,8.49,18.05,7.61,3.92,1,7,0,0,0,0,5264.58,69491163.7,93133541.06
Jakkur,residential,good,1006.3,2.76,11.23,2.3,4.54,1,22,0,0,0,0,5541.1,5575960.2,5936059.64
HSR Layout,residential,excellent,658.8,9.37,13.69,4.89,2.36,5,3,0,0,0,1,8570.85,5646840.68,7582162.12
Kanakapura Road,residential,good,3284.1,10.5,13.98,3.98,4.03,3,20,0,0,0,0,4426.19,14535869.9,17437971.56
Sarjapur Road,residential,good,1330.2,10.42,18.03,1.89,4.44,1,6,0,0,0,1,6351.77,8449212.51,10524040.6
Mahadevapura,residential,good,8474.3,7.0,12.0,6.26,4.01,0,7,0,0,0,0,6391.45,54163335.62,60095163.73
Kalyan Nagar,residential,good,4479.3,7.09,7.5,7.1,1.71,1,23,0,0,0,0,7692.72,34458117.63,28553174.35
HBR Layout,residential,good,16157.8,7.37,10.53,6.05,2.91,6,17,0,0,0,0,5327.55,86081564.16,98117654.78
Peenya,industrial,average,2946.0,1.99,9.78,1.74,2.34,3,3,0,0,0,1,3618.5,10660225.05,10860828.92
Richmond Town,residential,excellent,14243.3,4.81,4.15,4.35,1.36,0,13,0,0,1,0,17050.36,242852835.21,287010944.31
Brigade Road,commercial,excellent,4038.5,4.17,1.42,4.03,2.98,0,3,0,0,0,1,26815.42,108294033.4,139088577.67
ITPL,commercial,excellent,1901.3,4.16,14.5,0.8,0.97,2,2,0,0,1,1,11868.74,22566559.22,20890703.89
Marathahalli,commercial,excellent,2419.7,5.7,14.52,4.41,1.52,4,21,0,0,0,1,8604.62,20820522.22,22764077.84
Shivajinagar,commercial,excellent,975.3,3.58,0.99,7.17,3.38,0,3,0,0,0,1,14954.99,14586316.8,19395197.05
ITPL,commercial,excellent,3445.2,4.27,16.61,4.79,1.92,0,11,0,0,0,1,9838.7,33896228.82,41076216.66
Kogilu,residential,good,16274.0,5.66,14.67,3.91,4.72,1,1,0,1,0,0,4627.58,75309437.56,75944126.11
Jayanagar,residential,excellent,1516.0,10.07,4.63,4.28,1.0,5,8,0,0,1,0,11958.39,18128661.76,18015545.43
Vijayanagar,residential,good,1063.7,5.06,8.05,2.98,3.17,5,20,0,0,0,0,5925.93,6303164.0,5375623.55
Jakkur,residential,good,3060.5,1.85,15.16,2.09,1.3,0,7,0,0,1,0,6066.53,18566593.19,23337480.98
RR Nagar,residential,good,5736.2,5.72,12.4,6.68,1.08,4,19,0,0,1,0,4826.88,27687783.69,34306462.61
Yelahanka,residential,good,4157.1,3.93,18.31,0.99,2.84,3,15,0,0,0,0,5075.64,21099882.42,24550142.0
ITPL,commercial,excellent,14148.8,2.8,15.88,3.78,1.46,2,8,1,1,1,1,9670.6,136827053.36,147141603.34
Kadugodi,residential,average,1224.3,5.66,22.29,5.65,3.59,0,23,0,1,0,0,3140.99,3845473.01,4572412.14
Thanisandra,residential,good,748.9,5.33,11.52,3.4,0.62,5,6,0,0,1,0,5663.53,4241342.53,3860180.7
Yeshwanthpur,commercial,good,3139.5,2.97,10.48,1.94,1.83,1,1,0,0,0,1,7348.88,23072165.31,30655141.29
Lavelle Road,residential,excellent,19666.0,6.93,1.21,3.13,2.87,1,2,0,0,0,0,19900.42,391361006.54,412770176.89
Banashankari,residential,excellent,1700.9,11.72,12.01,1.13,0.56,1,21,0,0,1,0,8021.19,13643308.04,11844417.06
Attibele,industrial,poor,898.2,4.08,29.43,2.63,4.72,5,12,0,0,0,1,1147.72,1030844.74,1294077.3
Mahadevapura,residential,good,4867.4,4.74,14.13,6.67,2.95,0,3,0,0,0,0,6286.47,30598838.77,32919876.08
Bellary Road,commercial,excellent,1169.4,2.06,9.37,3.88,0.33,2,7,0,0,1,1,11004.04,12867834.9,11999213.64
Malleshwaram,residential,excellent,1349.0,5.3,5.41,7.73,3.08,0,2,0,0,0,0,14370.79,19385829.98,24762923.79
Yeshwanthpur,commercial,good,3739.7,5.65,7.54,5.83,1.87,5,21,0,0,0,1,6604.28,24698043.06,21277920.43
Brigade Road,commercial,excellent,4098.9,5.86,2.93,6.31,2.7,0,11,0,0,0,1,27532.01,112850705.21,144512873.14
Hoskote,agricultural,poor,1391.2,3.05,30.83,2.41,4.29,1,13,0,0,0,0,1235.06,1718216.63,2244114.08
Hoodi,residential,good,1630.1,7.04,13.67,4.8,3.17,0,11,0,0,0,0,5122.32,8349804.27,6636274.77
Shivajinagar,commercial,excellent,10001.9,3.96,3.98,5.18,3.31,1,4,0,0,0,1,15911.19,159141804.79,171577253.8
Bommanahalli,residential,good,1006.8,8.45,11.74,5.2,4.94,4,20,0,0,0,0,4348.34,4378015.24,3775278.3
Mahadevapura,residential,good,879.0,6.07,14.93,5.82,4.23,2,9,0,0,0,0,5173.1,4547009.23,3918895.07
Sarjapur Road,residential,good,3357.9,9.0,17.17,0.64,2.96,1,2,1,1,0,1,4933.46,16566276.08,22049474.3
RR Nagar,residential,good,4642.7,7.71,11.64,6.28,3.92,2,10,0,0,0,0,5226.84,24266630.41,32079567.42
Nagawara,residential,good,1803.5,7.77,10.63,6.24,1.81,3,24,0,0,0,0,6473.43,11674593.21,14785911.04
Sadashivanagar,residential,excellent,830.7,7.33,2.39,6.73,2.62,1,3,1,0,0,0,13696.85,11378438.69,13864887.05
Peenya,industrial,average,1957.8,1.62,15.22,4.9,3.97,0,18,0,0,0,1,3958.08,7749196.83,9688855.38
HSR Layout,residential,excellent,10410.6,8.76,12.18,0.92,0.66,4,18,1,0,1,1,10072.69,104862243.18,131967524.98
Attibele,industrial,poor,1140.3,5.04,31.33,5.24,4.62,0,21,0,0,0,1,1592.59,1816047.02,1462571.88
Attibele,industrial,poor,4021.8,5.14,29.7,2.19,3.1,2,17,0,0,0,1,1222.95,4918508.3,5356959.43
MG Road,commercial,excellent,4058.1,5.82,1.3,2.06,3.13,1,23,0,0,0,1,28357.52,115077408.73,140519276.41
BTM Layout,residential,excellent,19429.1,11.8,6.39,5.12,3.87,1,9,0,0,0,0,9261.25,179938051.15,193187061.79
Doddaballapur,agricultural,poor,2481.4,3.85,38.59,7.11,4.49,6,19,0,0,0,0,636.85,1580292.97,1983992.6
Jakkur,residential,good,3102.5,6.32,12.1,2.15,3.32,1,19,0,0,0,0,4976.93,15440673.91,11949794.62
Hebbal,residential,excellent,1451.5,2.7,10.36,0.84,1.22,1,18,0,0,1,1,10743.97,15595216.05,18263672.11
Kogilu,residential,good,1203.4,5.35,15.25,5.1,1.01,2,24,0,0,1,0,4452.79,5358646.34,5088275.51
Devanahalli,agricultural,average,13531.5,0.3,33.99,5.55,3.34,1,18,0,0,0,0,1759.65,23810705.28,21857998.56
Hebbal,residential,excellent,19951.5,3.04,12.3,0.87,2.4,1,12,1,0,0,1,9076.86,181096711.27,143801132.45
Marathahalli,commercial,excellent,3164.5,3.19,15.52,3.3,0.43,1,21,0,0,1,1,10655.74,33720248.51,43196496.68
Harlur,residential,good,13878.0,9.59,17.23,2.99,2.37,4,9,0,0,0,0,4144.97,57523890.73,49952705.43
HBR Layout,residential,good,3761.9,5.09,8.75,2.41,0.4,1,13,0,0,1,0,6569.95,24715799.15,32400062.13
BTM Layout,residential,excellent,703.4,9.67,9.67,6.84,2.79,0,23,0,0,0,0,8789.51,6182421.31,5238019.69
Brookefield,residential,excellent,1127.1,5.17,14.78,4.34,3.93,1,3,1,0,0,0,7512.83,8467687.01,6613852.15
RR Nagar,residential,good,7297.0,6.63,11.58,4.05,1.11,0,12,0,0,1,0,6805.07,49656692.05,61885694.59
Varthur,residential,average,1119.0,7.26,21.92,4.91,1.12,2,12,0,0,1,0,3443.41,3853046.57,3904131.24
Devanahalli,agricultural,average,679.0,3.12,35.19,6.98,4.08,1,6,0,0,0,0,1567.33,1064263.24,1342700.74
BTM Layout,residential,excellent,2021.1,8.63,7.61,5.91,4.72,1,3,0,0,0,0,9200.57,18595372.5,22116988.92
Yelahanka,residential,good,12982.2,3.24,19.55,3.49,1.06,1,6,0,0,1,0,5799.84,75294706.86,94957305.86
Koramangala,commercial,excellent,4198.6,8.55,6.27,6.56,3.03,1,5,0,0,0,1,20076.75,84293713.24,88778736.57
KR Puram,residential,good,1364.8,3.72,14.73,7.71,1.44,5,22,0,0,1,0,4758.63,6494758.63,8113258.6
Chandapura,residential,average,641.0,9.13,27.14,5.02,0.45,5,22,0,0,1,0,1997.12,1280116.76,1569299.21
Koramangala,commercial,excellent,4818.9,9.26,6.33,6.35,3.26,1,12,0,1,0,1,19299.2,93000016.77,120620737.88
Kogilu,residential,good,1901.9,6.65,17.27,6.52,1.87,0,22,0,0,0,0,4445.4,8454781.37,7969020.13
Hoodi,residential,good,987.3,3.45,15.17,2.88,2.25,0,24,1,0,0,0,5367.58,5299561.73,5364423.59
Banashankari,residential,excellent,8186.4,9.79,11.72,6.25,4.08,1,13,0,0,0,0,8249.94,67537679.47,70630904.3
Vijayanagar,residential,good,7176.1,7.6,7.4,1.49,4.22,1,19,0,0,0,0,7473.69,53632194.37,45235474.84
Mahadevapura,residential,good,4287.2,7.4,16.22,4.09,2.87,0,6,0,0,0,0,5634.87,24157704.93,30762992.03
Sadashivanagar,residential,excellent,2088.1,5.89,4.22,7.93,0.45,1,5,0,0,1,0,17427.7,36390052.99,27467289.4
Bommanahalli,residential,good,994.8,7.5,14.11,7.52,3.43,1,18,0,0,0,0,5286.97,5259613.97,7033343.51
Chandapura,residential,average,714.7,6.75,25.51,5.96,3.85,0,18,0,0,0,0,2838.86,2029012.76,1696191.7
Basavanagudi,residential,excellent,4834.9,11.06,8.68,7.36,1.07,2,11,0,0,1,0,9829.66,47525728.45,55357124.31
Begur,residential,average,19023.7,8.93,14.6,2.58,2.64,1,4,0,0,0,0,4057.57,77189754.82,89675198.13
JP Nagar,residential,excellent,17398.6,10.19,11.6,5.99,1.92,1,4,0,0,0,0,9385.92,163301325.43,167585095.03
Carmelaram,residential,average,3378.6,9.35,19.86,4.03,0.5,0,22,0,0,1,0,4637.25,15667352.68,12945968.93
RR Nagar,residential,good,1030.2,6.86,13.02,1.88,2.47,2,5,1,0,0,0,4823.56,4969264.38,5083582.77
Bannerghatta Road,residential,good,1465.5,6.07,13.84,4.07,2.81,0,22,0,0,0,0,6531.0,9570957.34,10257040.39
Basaveshwara Nagar,residential,good,3380.8,4.97,9.11,4.19,3.51,2,1,0,0,0,0,6750.67,22822409.47,17623788.09
Attibele,industrial,poor,3351.6,4.41,30.28,4.88,2.8,0,4,0,0,0,1,1462.29,4901000.06,4776579.95
Shivajinagar,commercial,excellent,1091.7,6.18,1.87,7.53,1.18,2,20,0,0,1,1,17937.29,19582469.63,17533529.92
Basavanagudi,residential,excellent,2302.2,8.71,11.51,4.63,1.25,1,23,0,0,1,0,9864.92,22711484.58,21639135.36
Brookefield,residential,excellent,804.0,3.8,15.38,1.5,0.69,1,5,0,0,1,0,9462.89,7608205.32,6063070.19
Jakkur,residential,good,706.3,3.91,13.44,4.33,0.66,2,4,1,0,1,0,5149.46,3637294.75,3462531.53
Bannerghatta Road,residential,good,1595.6,6.3,13.81,3.99,1.9,2,12,0,0,0,0,6024.84,9613262.64,9938679.7
Begur,residential,average,1058.8,7.75,17.01,5.14,1.31,0,22,0,0,1,0,4141.33,4385041.72,3358824.27
Brookefield,residential,excellent,2569.1,6.08,15.41,5.2,1.17,3,2,0,0,1,0,7627.7,19596595.46,24921125.23
Frazer Town,residential,excellent,4755.5,9.0,4.73,4.82,4.5,1,11,0,0,0,0,10231.6,48656131.82,61281734.57
Kadugodi,residential,average,9800.0,6.99,23.53,6.01,4.68,1,2,0,0,0,0,2772.46,27170058.72,35896339.11
Attibele,industrial,poor,2135.6,5.45,33.05,2.85,1.69,2,20,0,0,0,1,1372.76,2931738.01,2472957.15
Peenya,industrial,average,12053.2,4.31,12.39,5.58,3.77,3,6,0,0,0,1,3455.18,41645780.89,49281755.1
Kalyan Nagar,residential,good,779.4,7.64,8.79,3.81,1.86,3,3,0,0,0,0,6619.29,5159257.26,5114537.51
Doddaballapur,agricultural,poor,1355.5,2.53,39.5,7.81,4.66,0,19,0,0,0,0,788.12,1068281.1,1325050.44
Anekal,agricultural,poor,5602.2,5.7,35.57,6.35,2.57,1,13,0,0,0,0,942.44,5279756.64,6912088.73
Carmelaram,residential,average,1019.0,9.56,21.13,7.12,4.36,0,20,1,0,0,0,3402.63,3467349.99,4253128.45
Doddanekundi,commercial,good,1478.3,4.7,15.26,1.4,1.22,0,22,0,0,1,1,8144.58,12040220.04,15334738.82
HSR Layout,residential,excellent,1081.7,7.14,13.02,2.17,4.08,2,23,0,0,0,1,9936.25,10748125.07,13562949.02
Bommanahalli,residential,good,2006.8,7.97,15.25,2.04,0.86,2,8,0,0,1,0,5132.99,10300659.06,9633360.04
Jakkur,residential,good,4672.6,6.0,13.08,2.99,4.75,0,16,1,0,0,0,5492.71,25665437.68,21373506.29
Chandapura,residential,average,1422.8,7.71,28.74,4.62,3.74,0,5,0,0,0,0,2336.97,3324936.13,3817879.49
Brookefield,residential,excellent,2940.7,5.18,14.42,0.78,0.3,0,17,1,0,1,0,8735.42,25687931.35,33559427.24
Vasanth Nagar,residential,excellent,1606.1,5.04,4.14,6.41,2.24,2,4,0,0,0,0,14605.32,23457577.32,28713443.21
Vijayanagar,residential,good,2538.1,7.79,9.78,3.21,1.45,2,4,1,1,1,0,5537.27,14053979.1,12876031.03
Brigade Road,commercial,excellent,4506.3,4.62,3.32,7.41,3.86,2,5,0,0,0,1,24171.98,108925468.96,90823888.87
MG Road,commercial,excellent,1331.9,5.83,0.97,5.01,1.03,0,13,1,0,1,1,30977.72,41260213.69,48120530.31
Mahadevapura,residential,good,14360.1,5.27,17.4,6.53,3.39,0,14,1,0,0,0,4966.55,71320337.84,95074362.91
Begur,residential,average,1049.5,8.41,17.58,7.25,3.76,1,19,0,0,0,0,3337.04,3502338.73,2991649.41
Bellandur,residential,good,3341.4,8.62,15.54,6.65,0.6,4,6,0,0,1,0,5828.75,19476287.65,19655834.34
Kogilu,residential,good,7993.1,6.41,16.64,7.02,0.82,1,19,0,0,1,0,5443.82,43513259.51,55493349.89
Chandapura,residential,average,4265.5,7.53,24.09,0.9,0.85,1,6,1,0,1,0,2877.89,12275675.56,14008274.84
Thanisandra,residential,good,1349.3,4.89,12.92,6.35,2.48,2,17,0,0,0,0,6168.54,8323086.93,7592379.29
HBR Layout,residential,good,3870.3,4.01,9.37,7.03,3.5,1,19,0,0,0,0,6633.72,25674202.38,25602123.45
Brookefield,residential,excellent,1395.1,3.26,14.08,3.62,0.85,3,9,0,0,1,0,8726.67,12174706.26,15858590.63
Sarjapur Road,residential,good,18083.4,9.33,16.62,4.48,1.9,1,21,0,0,0,1,6388.9,115533224.03,129203418.56
Tumkur Road,industrial,average,979.5,0.3,13.89,6.42,3.54,0,13,0,0,0,1,2943.44,2883152.67,2390707.53
Lavelle Road,residential,excellent,11433.6,5.57,3.99,5.18,2.23,2,12,0,0,0,0,19928.37,227852895.41,269387802.26
Jayanagar,residential,excellent,9139.3,9.53,9.13,5.16,0.7,3,23,0,0,1,0,11952.74,109239439.77,92234911.95
Kanakapura Road,residential,good,3830.2,6.36,15.01,2.31,2.36,2,18,0,0,0,0,4873.4,18666276.65,21798453.97
Koramangala,commercial,excellent,8467.6,9.69,4.37,6.57,4.1,2,7,0,0,0,1,17399.95,147336431.39,119829475.35
Malleshwaram,residential,excellent,16275.8,5.52,3.81,4.32,3.99,4,15,0,0,0,0,10887.7,177206169.58,223543309.48
